Codes W1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.0,3.35,4.47,5.59,9.01,10.11,11.22,1.0,14.54,2.18,4.35,7.25,6.16,2.2,4.38,4.36,7.26,2.42,4.49,4.48,2.43,4.49,13.45,5.45,9.08,14.57,14.96,4.34,6.18,6.17,3.36
1,5.35,0.0,1.12,2.24,5.69,6.78,7.89,3.5,14.93,4.0,5.49,7.99,7.01,4.01,5.51,5.5,8.0,4.13,5.6,5.6,4.14,5.6,13.86,6.4,9.68,14.95,15.33,5.48,7.03,7.02,0.01
2,6.47,2.12,0.0,1.12,4.59,5.68,6.78,4.58,15.22,4.97,6.24,8.52,7.61,4.98,6.26,6.24,8.53,5.08,6.34,6.33,5.09,6.34,14.17,7.05,10.12,15.24,15.62,6.23,7.63,7.62,1.11
3,7.59,3.24,2.12,0.0,3.51,4.58,5.68,5.68,15.58,6.0,7.08,9.15,8.32,6.01,7.1,7.09,9.16,6.09,7.17,7.17,6.09,7.17,14.56,7.81,10.66,15.6,15.97,7.08,8.33,8.33,2.23
4,12.01,7.69,6.59,5.51,0.0,1.11,2.23,9.06,17.11,9.27,10.0,11.56,10.91,9.27,10.01,10.01,11.57,9.32,10.06,10.06,9.33,10.06,16.18,10.53,12.79,17.13,17.46,10.0,10.92,10.92,5.68
5,13.11,8.780000000000001,7.68,6.58,2.1100000000000003,0.0,1.12,10.16,17.71,10.34,11.01,12.44,11.84,10.35,11.02,11.01,12.45,10.39,11.06,11.06,10.4,11.06,16.82,11.48,13.59,17.73,18.06,11.0,11.85,11.85,6.77
6,15.22,10.89,8.780000000000001,7.68,3.23,2.12,0.0,11.27,18.37,11.43,12.04,13.36,12.8,11.44,12.05,12.04,13.37,11.48,12.09,12.09,11.48,12.09,17.52,12.48,14.44,18.39,18.71,12.03,12.81,12.81,7.88
7,2.0,5.5,6.58,7.68,12.06,13.16,15.27,0.0,13.55,1.18,3.35,6.25,5.5,1.2,3.38,3.36,6.26,1.56,3.52,3.52,1.57,3.52,12.71,4.69,8.31,13.89,14.3,3.34,5.52,5.51,3.51
8,18.54,18.93,20.22,20.58,22.11,22.71,23.37,17.55,0.0,12.37,10.21,7.33,11.1,12.35,10.18,10.2,7.32,12.39,10.23,10.24,12.38,10.23,9.87,10.72,9.14,11.35,11.86,10.22,11.11,11.11,14.93
9,3.18,6.0,6.97,8.0,12.27,13.34,15.43,2.1799999999999997,16.369999999999997,0.0,2.17,5.07,4.87,0.02,2.2,2.18,5.08,1.0,2.42,2.41,1.0,2.42,11.88,3.93,7.46,13.14,13.58,2.16,4.9,4.89,4.01
10,6.35,7.49,8.24,10.08,13.0,15.01,16.04,5.35,13.21,3.17,0.0,2.9,4.36,2.15,0.03,0.01,2.91,2.37,1.0,1.0,2.36,1.0,10.55,3.28,6.19,11.95,12.43,0.01,4.39,4.38,5.5
11,10.25,10.99,11.52,12.15,15.56,16.439999999999998,17.36,8.25,10.33,7.07,3.9,0.0,5.24,5.05,2.87,2.89,0.01,5.15,3.04,3.05,5.14,3.04,9.28,4.38,5.47,10.84,11.36,2.91,5.26,5.25,7.99
12,8.16,10.01,10.61,11.32,13.91,15.84,16.8,7.5,15.1,6.87,6.36,7.24,0.0,4.86,4.36,4.36,5.24,3.99,3.36,3.36,3.98,3.36,7.35,1.08,3.11,8.43,8.83,4.36,0.03,0.02,7.02
13,3.2,6.01,6.98,8.01,12.27,13.35,15.44,2.2,16.35,1.02,3.15,7.05,6.86,0.0,2.18,2.16,5.06,1.0,2.4,2.39,1.0,2.4,11.87,3.92,7.44,13.13,13.57,2.14,4.89,4.88,4.02
